"ALLEE","ALY"
"ALLEY","ALY"
"ALLY","ALY"
"ALY","ALY"
"ANEX","ANX"
"ANNEX","ANX"
"ANNX","ANX"
"ANX","ANX"
"ARCADE","ARC"
"ARC","ARC"
"AV","AVE"
"AVE","AVE"
"AVEN","AVE"
"AVENU","AVE"
"AVENUE","AVE"
"AVN","AVE"
"AVNU","AVE"
"AVNUE","AVE"
"BCH","BCH"
"BEACH","BCH"
"BG","BG"
"BURG","BG"
"BURGS","BG"
"BLF","BLF"
"BLUF","BLF"
"BLUFF","BLF"
"BLUFFS","BLF"
"BL","BLVD"
"BLV","BLVD"
"BLVD","BLVD"
"BOUL","BLVD"
"BOULEVARD","BLVD"
"BOULV","BLVD"
"BULEVARD","BLVD"
"BV","BLVD"
"BVD","BLVD"
"BEND","BND"
"BND","BND"
"BRANCH","BR"
"BR","BR"
"BRNCH","BR"
"BRDGE","BRG"
"BRG","BRG"
"BRIDGE","BRG"
"BRK","BRK"
"BROOK","BRK"
"BROOKS","BRK"
"BOT","BTM"
"BOTTM","BTM"
"BOTTOM","BTM"
"BTM","BTM"
"BPS","BYP"
"BPSS","BYP"
"BYPA","BYP"
"BYPAS","BYP"
"BYPASS","BYP"
"BYP","BYP"
"BYPS","BYP"
"BYPSS","BYP"
"BAYOO","BYU"
"BAYOU","BYU"
"BYU","BYU"
"CIRC","CIR"
"CIR","CIR"
"CIRCL","CIR"
"CIRCLE","CIR"
"CIRCLES","CIR"
"CRCL","CIR"
"CRCLE","CIR"
"CLB","CLB"
"CLUB","CLB"
"CLF","CLFS"
"CLFS","CLFS"
"CLIFF","CLFS"
"CLIFFS","CLFS"
"COR","COR"
"CORNER","COR"
"CORNERS","CORS"
"CORS","CORS"
"CAMP","CP"
"CMP","CP"
"CP","CP"
"CAPE","CPE"
"CPE","CPE"
"CRECENT","CRES"
"CRESCENT","CRES"
"CRES","CRES"
"CRESENT","CRES"
"CRSCNT","CRES"
"CRSENT","CRES"
"CRSNT","CRES"
"CK","CRK"
"CR","CRK"
"CREEK","CRK"
"CRK","CRK"
"COURSE","CRSE"
"CRSE","CRSE"
"CAUSEWAY","CSWY"
"CAUSWAY","CSWY"
"CSWY","CSWY"
"COURT","CT"
"CRT","CT"
"CT","CT"
"CEN","CTR"
"CENT","CTR"
"CENTER","CTR"
"CENTERS","CTR"
"CENTR","CTR"
"CENTRE","CTR"
"CNTER","CTR"
"CNTR","CTR"
"CTR","CTR"
"COURTS","CTS"
"CTS","CTS"
"COVE","CV"
"COVES","CV"
"CV","CV"
"CAN","CYN"
"CANYN","CYN"
"CANYON","CYN"
"CNYN","CYN"
"CYN","CYN"
"DALE","DL"
"DL","DL"
"DAM","DM"
"DM","DM"
"DR","DR"
"DRIV","DR"
"DRIVE","DR"
"DRIVES","DR"
"DRV","DR"
"DIV","DV"
"DIVIDE","DV"
"DVD","DV"
"DV","DV"
"ESTATE","EST"
"ESTATES","EST"
"EST","EST"
"ESTS","EST"
"EXP","EXPY"
"EXPRESS","EXPY"
"EXPRESSWAY","EXPY"
"EXPR","EXPY"
"EXPW","EXPY"
"EXPY","EXPY"
"EXTENSION","EXT"
"EXT","EXT"
"EXTN","EXT"
"EXTNSN","EXT"
"EXTS","EXT"
"FALL","FALL"
"FIELD","FLD"
"FLD","FLD"
"FIELDS","FLDS"
"FLDS","FLDS"
"FALLS","FLS"
"FLS","FLS"
"FLAT","FLT"
"FLATS","FLT"
"FLT","FLT"
"FLTS","FLT"
"FORD","FRD"
"FORDS","FRD"
"FRD","FRD"
"FORGE","FRG"
"FORGES","FRG"
"FORG","FRG"
"FRG","FRG"
"FORK","FRK"
"FRK","FRK"
"FORKS","FRKS"
"FRKS","FRKS"
"FOREST","FRST"
"FORESTS","FRST"
"FRST","FRST"
"FERRY","FRY"
"FRRY","FRY"
"FRY","FRY"
"FORT","FT"
"FRT","FT"
"FT","FT"
"FREEWAY","FWY"
"FREEWY","FWY"
"FRWAY","FWY"
"FRWY","FWY"
"FWY","FWY"
"GARDEN","GDNS"
"GARDENS","GDNS"
"GARDN","GDNS"
"GDN","GDNS"
"GDNS","GDNS"
"GRDEN","GDNS"
"GRDN","GDNS"
"GRDNS","GDNS"
"GLEN","GLN"
"GLENS","GLN"
"GLN","GLN"
"GREEN","GRN"
"GREENS","GRN"
"GRN","GRN"
"GROVE","GRV"
"GROVES","GRV"
"GROV","GRV"
"GRV","GRV"
"GATEWAY","GTWY"
"GATEWY","GTWY"
"GATWAY","GTWY"
"GTWAY","GTWY"
"GTWY","GTWY"
"HARB","HBR"
"HARBOR","HBR"
"HARBORS","HBR"
"HARBR","HBR"
"HBR","HBR"
"HRBOR","HBR"
"HILL","HL"
"HL","HL"
"HILLS","HLS"
"HLS","HLS"
"HLLW","HOLW"
"HOLLOW","HOLW"
"HOLLOWS","HOLW"
"HOLW","HOLW"
"HOLWS","HOLW"
"HEIGHT","HTS"
"HEIGHTS","HTS"
"HGTS","HTS"
"HT","HTS"
"HTS","HTS"
"HAVEN","HVN"
"HAVN","HVN"
"HVN","HVN"
"HIGHWAY","HWY"
"HIGHWY","HWY"
"HIWAY","HWY"
"HIWY","HWY"
"HWAY","HWY"
"HWY","HWY"
"INTERSTATE","HWY"
"SR","HWY"
"I","HWY"
"INLET","INLT"
"INLT","INLT"
"IS","IS"
"ISLAND","IS"
"ISLND","IS"
"ISLE","ISLE"
